MovieID,Score,Title,Genres
912,3.171872785385229,Casablanca (1942),"['Drama', 'Romance', 'War']"
3888,3.1500993377483444,Skipped Parts (2000),"['Drama', 'Romance']"
1197,3.1277295167677086,"Princess Bride, The (1987)","['Action', 'Adventure', 'Comedy', 'Romance']"
3307,3.0846779770777837,City Lights (1931),"['Comedy', 'Drama', 'Romance']"
898,3.039388384424569,"Philadelphia Story, The (1940)","['Comedy', 'Romance']"
899,3.0358366107882646,Singin' in the Rain (1952),"['Musical', 'Romance']"
1247,3.034718096643576,"Graduate, The (1967)","['Drama', 'Romance']"
1172,3.0320097722500403,Cinema Paradiso (1988),"['Comedy', 'Drama', 'Romance']"
969,3.028658940397351,"African Queen, The (1951)","['Action', 'Adventure', 'Romance', 'War']"
930,3.0281700647369596,Notorious (1946),"['Film-Noir', 'Romance', 'Thriller']"
