MovieID,Score,Title,Genres
904,3.185485651214128,Rear Window (1954),"['Mystery', 'Thriller']"
578,3.1500993377483444,"Hour of the Pig, The (1993)","['Drama', 'Mystery']"
1212,3.140299392935982,"Third Man, The (1949)","['Mystery', 'Thriller']"
913,3.1289858438152804,"Maltese Falcon, The (1941)","['Film-Noir', 'Mystery']"
1252,3.0963259703244197,Chinatown (1974),"['Film-Noir', 'Mystery', 'Thriller']"
1617,3.0672263001898763,L.A. Confidential (1997),"['Crime', 'Film-Noir', 'Mystery', 'Thriller']"
1284,3.0455399921655997,"Big Sleep, The (1946)","['Film-Noir', 'Mystery']"
903,3.0360000548827335,Vertigo (1958),"['Mystery', 'Thriller']"
3730,2.997113686534216,"Conversation, The (1974)","['Drama', 'Mystery']"
950,2.9823115304363603,"Thin Man, The (1934)",['Mystery']
