MovieID,Score,Title,Genres
919,3.0589050489942866,"Wizard of Oz, The (1939)","['Adventure', ""Children's"", 'Drama', 'Musical']"
3114,3.0319743769193805,Toy Story 2 (1999),"['Animation', ""Children's"", 'Comedy']"
1,3.0059547408226965,Toy Story (1995),"['Animation', ""Children's"", 'Comedy']"
1097,2.888326705465838,E.T. the Extra-Terrestrial (1982),"[""Children's"", 'Drama', 'Fantasy', 'Sci-Fi']"
2761,2.8667112425570376,"Iron Giant, The (1999)","['Animation', ""Children's""]"
34,2.811013602444771,Babe (1995),"[""Children's"", 'Comedy', 'Drama']"
1023,2.801474558748614,Winnie the Pooh and the Blustery Day (1968),"['Animation', ""Children's""]"
2355,2.7826483358156424,"Bug's Life, A (1998)","['Animation', ""Children's"", 'Comedy']"
3751,2.7817360436318697,Chicken Run (2000),"['Animation', ""Children's"", 'Comedy']"
1282,2.780029688959429,Fantasia (1940),"['Animation', ""Children's"", 'Musical']"
